timestamp,vehicle_type,features,quantity_sold,region
31-01-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",13,South
01-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",131,South
02-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",17,South
03-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",22,South
04-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",15,South
05-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",54,South
06-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",34,South
07-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",57,South
08-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",78,South
09-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",90,South
10-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",6,West
11-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",42,West
12-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",38,West
13-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",63,West
14-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",71,West
15-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",93,West
16-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",24,West
17-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",65,West
18-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",73,West
19-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",11,West
20-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",8,West
21-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",67,West
22-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",56,West
23-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",31,West
24-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",13,West
25-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",63,West
26-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",80,West
27-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",24,West
28-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",104,West
01-03-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",45,West
21-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",11,South
22-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",45,South
23-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",122,South
24-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",27,South
25-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",80,South
26-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",32,South
27-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",126,South
28-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",27,South
29-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",6,South
30-01-2025,SUV,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",24,South
