timestamp,vehicle_type,features,quantity_sold,region
31-01-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.508474576,South
01-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.525423729,South
02-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.542372881,South
03-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.559322034,South
04-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.576271186,South
05-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.593220339,South
06-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.610169492,South
07-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.627118644,South
08-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.644067797,South
09-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.661016949,South
10-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.677966102,West
11-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.694915254,West
12-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.711864407,West
13-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.728813559,West
14-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.745762712,West
15-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.762711864,West
16-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.779661017,West
17-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.796610169,West
18-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.813559322,West
19-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.830508475,West
20-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.847457627,West
21-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.86440678,West
22-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.881355932,West
23-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.898305085,West
24-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.915254237,West
25-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.93220339,West
26-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.949152542,West
27-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.966101695,West
28-02-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",0.983050847,West
01-03-2025,Sedan,"engine_hybrid,tire_allseason,paint_red,airbag_standard,sensor_basic",1,West
